"streams_mill","released_month","mode","key","bpm","danceability","energy","liveness"
141.381703,7,"Major","B",125,80,83,8
133.716286,3,"Major","C#",92,71,74,10
140.003974,6,"Major","F",138,51,53,31
800.840817,8,"Major","A",170,55,72,11
303.236322,5,"Minor","A",144,65,80,11
725.980112,3,"Minor","F",148,67,76,8
58.149378,7,"Major","F",100,67,71,11
95.217315,5,"Minor","C#",130,85,62,28
553.634067,3,"Minor","D",170,81,48,8
505.671438,4,"Minor","F#",83,57,72,27
1316.855716,1,"Major","",118,71,68,3
387.570742,4,"Minor","D",130,51,43,9
2513.188493,3,"Minor","F#",174,52,73,31
1163.093654,12,"Major","G#",89,64,73,16
496.795686,2,"Minor","B",120,78,59,34
30.546883,7,"Major","",78,44,9,10
335.222234,3,"Major","B",100,86,66,12
363.369738,3,"Major","G",120,63,73,36
86.444842,6,"Minor","F",140,65,74,42
52.135248,7,"Major","F#",123,69,76,6
1297.026226,1,"Minor","",135,48,42,11
200.647221,5,"Minor","F",133,85,67,12
115.364561,6,"Major","C#",99,85,68,36
78.300654,6,"Minor","G",130,79,86,9
899.183384,3,"Major","B",107,80,80,14
61.245289,6,"Minor","F#",122,81,71,56
429.829812,1,"Major","F#",204,52,68,15
127.408954,5,"Minor","B",110,67,85,33
22.581161,7,"Minor","F",126,74,84,11
52.294266,6,"Major","F#",168,56,87,11
843.95751,12,"Minor","C#",98,71,61,8
999.748277,10,"Major","E",97,64,63,19
618.990393,2,"Minor","E",180,72,63,9
123.122413,6,"Major","",120,81,68,11
188.933502,4,"Major","F#",150,61,73,11
1355.959075,1,"Major","F",96,75,68,13
786.181836,1,"Major","D",95,60,79,12
176.553476,5,"Minor","F",125,79,85,11
354.495408,2,"Minor","A",144,56,65,10
2808.09655,10,"Major","D",90,76,50,7
1109.433169,8,"Minor","G",128,56,97,35
1047.101291,7,"Major","F#",79,56,56,11
65.156199,6,"Major","",144,77,58,23
570.515054,11,"Major","F",122,67,64,10
1085.68542,5,"Major","",140,71,81,6
2565.529693,9,"Major","G",186,68,59,13
518.745108,2,"Minor","C#",67,53,53,44
107.75385,6,"Minor","A#",106,72,64,10
177.740666,4,"Major","G",128,60,91,12
153.372011,2,"Minor","F#",107,92,70,15
57.87644,6,"Minor","G",130,67,88,8
1813.673666,10,"Minor","E",123,45,54,9
